Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,Henderson,United States,Claire Gute,11/8/2016,CA-2016-152156,42420,Bush Somerset Collection Bookcase,South,Consumer,11/11/2016,Second Class,Kentucky,Bookcases,0,41.9136,2,261.96
Furniture,Henderson,United States,Claire Gute,11/8/2016,CA-2016-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Consumer,11/11/2016,Second Class,Kentucky,Chairs,0,219.582,3,731.94
Office Supplies,Los Angeles,United States,Darrin Van Huff,6/12/2016,CA-2016-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,West,Corporate,6/16/2016,Second Class,California,Labels,0,6.8714,2,14.62
Furniture,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,US-2015-108966,33311,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,10/18/2015,Standard Class,Florida,Tables,0.45,-383.031,5,957.5775
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,US-2015-108966,33311,Eldon Fold 'N Roll Cart System,South,Consumer,10/18/2015,Standard Class,Florida,Storage,0.2,2.5164,2,22.368
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,CA-2014-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,6/14/2014,Standard Class,California,Furnishings,0,14.1694,7,48.86
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,CA-2014-115812,90032,Newell 322,West,Consumer,6/14/2014,Standard Class,California,Art,0,1.9656,4,7.28
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,CA-2014-115812,90032,Mitel 5320 IP Phone VoIP phone,West,Consumer,6/14/2014,Standard Class,California,Phones,0.2,90.7152,6,907.152
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,CA-2014-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,West,Consumer,6/14/2014,Standard Class,California,Binders,0.2,5.7825,3,18.504
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,CA-2014-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,West,Consumer,6/14/2014,Standard Class,California,Appliances,0,34.47,5,114.9
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,CA-2014-115812,90032,Chromcraft Rectangular Conference Tables,West,Consumer,6/14/2014,Standard Class,California,Tables,0.2,85.309200000,9,1706.184
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,CA-2014-115812,90032,Konftel 250 Conference phone - Charcoal black,West,Consumer,6/14/2014,Standard Class,California,Phones,0.2,68.3568,4,911.424
Office Supplies,Concord,United States,Andrew Allen,4/15/2017,CA-2017-114412,28027,Xerox 1967,South,Consumer,4/20/2017,Standard Class,North Carolina,Paper,0.2,5.4432,3,15.552
Office Supplies,Seattle,United States,Irene Maddox,12/5/2016,CA-2016-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,West,Consumer,12/10/2016,Standard Class,Washington,Binders,0.2,132.5922,3,407.976
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2015,US-2015-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Home Office,11/26/2015,Standard Class,Texas,Appliances,0.8,-123.858,5,68.81
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2015,US-2015-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,Central,Home Office,11/26/2015,Standard Class,Texas,Binders,0.8,-3.816,3,2.544
Office Supplies,Madison,United States,Pete Kriz,11/11/2014,CA-2014-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Consumer,11/18/2014,Standard Class,Wisconsin,Storage,0,13.3176,6,665.88
Office Supplies,West Jordan,United States,Alejandro Grove,5/13/2014,CA-2014-167164,84084,Fellowes Super Stor/Drawer,West,Consumer,5/15/2014,Second Class,Utah,Storage,0,9.990000000,2,55.5
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,CA-2014-143336,94109,Newell 341,West,Consumer,9/1/2014,Second Class,California,Art,0,2.4824,2,8.56
Technology,San Francisco,United States,Zuschuss Donatelli,8/27/2014,CA-2014-143336,94109,Cisco SPA 501G IP Phone,West,Consumer,9/1/2014,Second Class,California,Phones,0.2,16.011,3,213.48
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,CA-2014-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",West,Consumer,9/1/2014,Second Class,California,Binders,0.2,7.384,4,22.72
Office Supplies,Fremont,United States,Ken Black,12/9/2016,CA-2016-137330,68025,Newell 318,Central,Corporate,12/13/2016,Standard Class,Nebraska,Art,0,5.0596,7,19.46
Office Supplies,Fremont,United States,Ken Black,12/9/2016,CA-2016-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Corporate,12/13/2016,Standard Class,Nebraska,Appliances,0,15.6884,7,60.34
Furniture,Philadelphia,United States,Sandra Flanagan,7/16/2017,US-2017-156909,19140,"Global Deluxe Stacking Chair, Gray",East,Consumer,7/18/2017,Second Class,Pennsylvania,Chairs,0.3,-1.0196,2,71.372
Furniture,Orem,United States,Emily Burns,9/25/2015,CA-2015-106320,84057,Bretford CR4500 Series Slim Rectangular Table,West,Consumer,9/30/2015,Standard Class,Utah,Tables,0,240.2649,3,1044.63
Office Supplies,Los Angeles,United States,Eric Hoffmann,1/16/2016,CA-2016-121755,90049,Wilson Jones Active Use Binders,West,Consumer,1/20/2016,Second Class,California,Binders,0.2,4.2224,2,11.648
Technology,Los Angeles,United States,Eric Hoffmann,1/16/2016,CA-2016-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,Consumer,1/20/2016,Second Class,California,Accessories,0,11.7741,3,90.57
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,US-2015-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,9/21/2015,Standard Class,Pennsylvania,Bookcases,0.5,-1665.0522,7,3083.43
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,US-2015-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,East,Consumer,9/21/2015,Standard Class,Pennsylvania,Binders,0.7,-7.0532,2,9.618
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,US-2015-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,9/21/2015,Standard Class,Pennsylvania,Furnishings,0.2,15.525,3,124.2
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,US-2015-150630,19140,Poly String Tie Envelopes,East,Consumer,9/21/2015,Standard Class,Pennsylvania,Envelopes,0.2,1.1016,2,3.264
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,US-2015-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Consumer,9/21/2015,Standard Class,Pennsylvania,Art,0.2,9.709200000,6,86.304
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,US-2015-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Consumer,9/21/2015,Standard Class,Pennsylvania,Binders,0.7,-5.715,6,6.858
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,US-2015-150630,19140,Lumber Crayons,East,Consumer,9/21/2015,Standard Class,Pennsylvania,Art,0.2,3.546,2,15.76
Office Supplies,Houston,United States,Matt Abelman,10/19/2017,CA-2017-107727,77095,Easy-staple paper,Central,Home Office,10/23/2017,Second Class,Texas,Paper,0.2,9.9468,3,29.472
Technology,Richardson,United States,Gene Hale,12/8/2016,CA-2016-117590,75080,GE 30524EE4,Central,Corporate,12/10/2016,First Class,Texas,Phones,0.2,123.4737,7,1097.544
Furniture,Richardson,United States,Gene Hale,12/8/2016,CA-2016-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Corporate,12/10/2016,First Class,Texas,Furnishings,0.6,-147.963,5,190.92
Office Supplies,Houston,United States,Steve Nguyen,12/27/2015,CA-2015-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Home Office,12/31/2015,Standard Class,Texas,Envelopes,0.2,35.415,9,113.328
Furniture,Houston,United States,Steve Nguyen,12/27/2015,CA-2015-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Home Office,12/31/2015,Standard Class,Texas,Bookcases,0.32,-46.9764,3,532.3992
Furniture,Houston,United States,Steve Nguyen,12/27/2015,CA-2015-117415,77041,"Global Fabric Manager's Chair, Dark Gray",Central,Home Office,12/31/2015,Standard Class,Texas,Chairs,0.3,-15.147,3,212.058
Technology,Houston,United States,Steve Nguyen,12/27/2015,CA-2015-117415,77041,Plantronics HL10 Handset Lifter,Central,Home Office,12/31/2015,Standard Class,Texas,Phones,0.2,41.7564,4,371.168
Technology,Naperville,United States,Linda Cazamias,9/10/2017,CA-2017-120999,60540,Panasonic Kx-TS550,Central,Corporate,9/15/2017,Standard Class,Illinois,Phones,0.2,16.5564,4,147.168
Office Supplies,Los Angeles,United States,Ruben Ausman,7/17/2016,CA-2016-101343,90049,"Eldon Base for stackable storage shelf, platinum",West,Corporate,7/22/2016,Standard Class,California,Storage,0,3.894000000,2,77.88
Office Supplies,Melbourne,United States,Erin Smith,9/19/2017,CA-2017-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Corporate,9/23/2017,Standard Class,Florida,Storage,0.2,9.561600000,2,95.616
